Date,Category,Quantity sold,price,Total sales,Month
1/1/2026,Beauty,3,50,150,January
2/27/2023,Clothing,2,500,1000,February
1/13/2023,Electronics,1,30,30,January
5/21/2023,Clothing,1,500,500,May
5/6/2023,Beauty,2,50,100,May
4/25/2023,Beauty,1,30,30,April
3/13/2023,Clothing,2,25,50,March
2/22/2023,Electronics,4,25,100,February
12/13/2023,Electronics,2,300,600,December
10/7/2023,Clothing,4,50,200,October
2/14/2023,Clothing,2,50,100,February
10/30/2023,Beauty,3,25,75,October
8/5/2023,Electronics,3,500,1500,August
1/17/2023,Clothing,4,30,120,January
1/16/2023,Electronics,4,500,2000,January
2/17/2023,Clothing,3,500,1500,February
4/22/2023,Clothing,4,25,100,April
4/30/2023,Electronics,2,25,50,April
9/16/2023,Clothing,2,25,50,September
11/5/2023,Clothing,3,300,900,November
1/14/2023,Beauty,1,500,500,January
10/15/2023,Clothing,2,50,100,October
4/12/2023,Clothing,4,30,120,April
11/29/2023,Clothing,1,300,300,November
12/26/2023,Beauty,1,50,50,December
10/7/2023,Electronics,2,500,1000,October
8/3/2023,Beauty,2,25,50,August
4/23/2023,Beauty,1,500,500,April
8/18/2023,Electronics,1,30,30,August
10/29/2023,Beauty,3,300,900,October
5/23/2023,Electronics,4,300,1200,May
1/4/2023,Beauty,3,30,90,January
3/23/2023,Electronics,2,50,100,March
12/24/2023,Clothing,3,50,150,December
8/5/2023,Beauty,3,300,900,August
6/24/2023,Beauty,3,300,900,June
5/23/2023,Beauty,3,25,75,May
3/21/2023,Beauty,4,50,200,March
4/21/2023,Clothing,4,30,120,April
6/22/2023,Beauty,1,50,50,June
2/22/2023,Clothing,2,25,50,February
2/17/2023,Clothing,3,300,900,February
7/14/2023,Clothing,1,300,300,July
2/19/2023,Clothing,1,25,25,February
7/3/2023,Electronics,1,30,30,July
6/26/2023,Electronics,4,300,1200,June
11/6/2023,Beauty,3,500,1500,November
5/16/2023,Electronics,3,300,900,May
1/23/2023,Electronics,2,500,1000,January
8/24/2023,Beauty,3,25,75,August
10/2/2023,Beauty,3,25,75,October
3/5/2023,Beauty,1,300,300,March
7/13/2023,Electronics,2,50,100,July
2/10/2023,Electronics,3,500,1500,February
10/10/2023,Beauty,4,30,120,October
5/31/2023,Clothing,3,300,900,May
11/18/2023,Beauty,1,30,30,November
11/13/2023,Clothing,4,300,1200,November
7/5/2023,Clothing,1,50,50,July
10/23/2023,Beauty,3,50,150,October
4/9/2023,Beauty,4,50,200,April
12/27/2023,Beauty,2,50,100,December
2/5/2023,Electronics,2,25,50,February
1/24/2023,Clothing,4,25,100,January
12/5/2023,Electronics,4,500,2000,December
4/27/2023,Electronics,1,30,30,April
5/29/2023,Beauty,4,300,1200,May
2/10/2023,Electronics,1,300,300,February
4/30/2023,Beauty,3,25,75,April
2/21/2023,Clothing,1,300,300,February
7/14/2023,Beauty,4,25,100,July
5/23/2023,Electronics,4,500,2000,May
8/21/2023,Electronics,3,30,90,August
11/22/2023,Beauty,4,500,2000,November
7/6/2023,Beauty,4,50,200,July
3/25/2023,Electronics,2,50,100,March
7/9/2023,Clothing,2,50,100,July
7/1/2023,Clothing,3,500,1500,July
4/18/2023,Beauty,1,300,300,April
12/10/2023,Clothing,2,30,60,December
5/17/2023,Electronics,1,50,50,May
12/26/2023,Beauty,4,50,200,December
12/16/2023,Electronics,2,50,100,December
11/28/2023,Electronics,3,30,90,November
2/6/2023,Clothing,3,50,150,February
11/8/2023,Beauty,3,30,90,November
11/22/2023,Beauty,2,50,100,November
3/29/2023,Clothing,1,500,500,March
10/1/2023,Electronics,4,500,2000,October
5/6/2023,Electronics,1,30,30,May
3/25/2023,Electronics,1,500,500,March
8/25/2023,Electronics,4,30,120,August
7/14/2023,Beauty,4,500,2000,July
5/19/2023,Beauty,2,500,1000,May
11/24/2023,Clothing,2,30,60,November
12/19/2023,Clothing,2,300,600,December
10/13/2023,Beauty,2,500,1000,October
4/23/2023,Beauty,2,50,100,April
12/17/2023,Electronics,4,300,1200,December
